Covidence #,Study Id,Reviewer,"1 –	Was it systematic: defining objectives and setting appropriate study eligibility criteria?",,,"2 –	Were search and screening methods appropriate/clear and not likely to have missed key studies?",,,"3 –	Were findings synthesised systematically: presenting all available evidence?",,,"4 –	Was risk of bias and confounding adequately assessed and were results presented to take account of this?",,
#309,Baldwin 2013,Andrew,high,,not systematic review,high,,not systematic search,high,,no record of retrieved relevant articles,high,,no methods applied
#309,Baldwin 2013,Consensus,,,,,,,,,,,,
#303,Baxter 2011,Andrew,low,a systematic review,"
",low,"Relevant literature was identified via free-text searching of electronic databases (see Appendix 2) and citation searching of included articles (using Web of Science Cited Reference search and Google Scholar). Also, by sifting the reference lists of included arti- cles; sifting the reference lists of relevant systematic reviews; searching of websites for grey literature; and consulting an expert group.
The review team drew on National Institute for Health and Clinical Excellence (NICE) search meth- ods 17 to use an approach based on several smaller, more targeted searches to identify evidence, rather than a large, single search. In this method retrieved citations are used to identify useful terms to inform further searches (see Appendix 1 for a sample search strategy). Studies were excluded when they were con- ducted with people aged 25 years or older. Papers that contained data for both under-25s and over-25s were included if 50% of participants were aged 25 years or younger.","

",low,Analysis and synthe- sis of these data suggested a number of themes relat- ing to the delivery of contraceptive services to young people (Box 2).,"
",high,,"qualitative synthesis - not testing causation
assessment of study quality - addressed in synthesis?"
#303,Baxter 2011,Consensus,,,,,,,,,,,,
#299,Beltz 2015,Andrew,low,"This review of the literature was conducted in two phases. First, we used four criteria to identify studies to present the strongest evidence for the relationship between teen birth rates and policy. We identiﬁed peer-reviewed studies and working articles","not systematic?
not defined as systematic, but uses inclusion/exclusion criteria and undefined searching",high,,,low,,,high,"All of these hypotheses assume that teens’ behavior is inﬂuenced by the implementation of a policy. However, in the real-world applica- tion of these policies, the direction of causality is much less cleardstate policymakers often implement policies in response to high teen birth rates in their state as opposed to pre-emptively passing policy to prevent teen childbearing. Although the studies included in this review use statistical methods to account for reverse causality, ﬁndings should be considered with","
"
#299,Beltz 2015,Consensus,,,,,,,,,,,,
#298,Bennett 2005,Andrew,low,a systematic review of randomized controlled trials,"
",low,"We identiﬁed studies of secondary-school-based pregnancy prevention programs in the United States by searching PubMed, Cochrane Registry, CINAHL, Biosis, and Embase for the medical subject heading keywords “teen pregnancy,” “teen abstinence,” “teen pregnancy prevention programs,” and “teen HIV prevention” from January 1, 1980 to September 1, 2002. We included programs with a focus on human immu- nodeﬁciency virus (HIV) prevention because these programs aim to reduce risky sexual behavior and secondarily decrease the pregnancy rate. We used references of retrieved articles to ﬁnd additional studies.","
",low,,,low,,"Only RCTs
No RoB assessment, though unlikely to affect outcomes?"
#298,Bennett 2005,Consensus,,,,,,,,,,,,
#291,Blank 2010,Andrew,low,Here we conduct a systematic review and nar- rative synthesis of literature which focuses speciﬁcally on interventions to provide contraception services for young people,"
",low,"Additional methods to identify evidence were undertaken
A full systematic search of key health and medical da- tabases was undertaken. The search strategy included terms relating to young people, contraceptive ser- vices, family planning and pregnancy prevention.","

",low,,,low,"There were four random controlled trials (RCT), nineteen con- trolled before and after studies (CBA), and ﬁve inter- rupted time series (ITS). The
Study quality was appraised using the NICE (2009) 6 checklist to identify potential sources of bias in the conclusions.","

"
#291,Blank 2010,Consensus,,,,,,,,,,,,
#290,Blank 2012,Andrew,low,,,low,"full systematic search of key health and medical databases was undertaken (Medline, Embase, Cinahl, British Nursing Index, PsycINFO, ASSIA, Cochrane—CDSR, Cochrane—DARE, Cochrane— Central, Cochrane—HTA, Social Care Online and Science and Social Science Citation Indices via WoK). The search strategy included terms relating to young people, contraceptive services, family planning and pregnancy prevention.","
",low,,,low,"There were 10 random controlled trials (RCTs) (two of cluster design), two non-randomized controlled trials (nRCT), one controlled before and after study (CBA), seven retrospective cohort studies (RCS) and three interrupted time series studies (ITS).
Study quality was appraised using the NICE (2009) [6] checklist to identify potential sources of bias.","

"
#290,Blank 2012,Consensus,,,,,,,,,,,,
#243,Brittain 2015,Andrew,low,The objectives of this systematic review were to summarize the evidence of the effect of youth-friendly family planning services on reproductive health outcomes and to describe key characteristics of youth-friendly family planning interventions.,"
",low,"included articles must have reported data speciﬁc to individuals aged 10–24 years. Articles that only examined contra- ceptive management practices applicable to women of all ages (e.g., examination requirements for prescribing contraception) were excluded because these issues are addressed in CDC’s 2013 “U.S. Selected Practice Recommendations for Contraceptive Use.” 21 Articles exclusively addressing conﬁdentiality in the provision of family planning services to young people were excluded because they were examined in a separate review in this series.
Search strategies (Appendix Table 1, available online) were developed and used to identify relevant articles in several electronic databases (Appendix Table 2, available online).","

",low,,,high,"Four studies 26,27,30,31 were rated as having high risk for bias, and two 28,29 were rated as having moderate risk for bias. Risk for bias pertains to the degree to which the causal relationships exam- ined by a study are in danger of being confounded by extraneous, systematic events or activities.","
not correcting for confounding or RoB having assessed both
All studies high or moderate RoB"
#243,Brittain 2015,Consensus,,,,,,,,,,,,
#236,Cardoza 2012,Andrew,low,"t r a c t <b>Study Objective: To identify sexual health behavior interventions targeting U.S. Latino adolescents. 
Design: A systematic literature review.</b> Setting: Peer-reviewed articles published between","
",low,"due to the scarcity of relevant articles based on their signiﬁcance and contribution to Latino adolescent sexual health promotion, the literature search was expanded to include 18 years of research from 1993 to 2011.
The literature review was limited to peer-reviewed, English language journal articles. Five online databases were used to search for published behavioral interventions: CINAHL, OVID Medline(R), Psy- chINFO, PubMed, and Scopus.","

",low,Details of Latino Adolescent Sexual Health Behavioral Interventions Reviewed,"
",high,,"no assessment of quality reported, no methods for taking study quality into account"
#236,Cardoza 2012,Consensus,,,,,,,,,,,,
#330,Charania 2011,Andrew,low,"The goals of this systematic review are to summarize the available research literature evaluating structural-level condom distribution interventions (SLCDIs), to meta-ana- lyze quantitative data to assess the overall efﬁcacy of SLCDIs on HIV-risk sex behaviors and sexually transmit- ted infections (STIs), and to assess whether structural-level intervention components (availability, accessibility, and acceptability) are associated with intervention efﬁcacy.","
",low,"(5) sufﬁcient data were available for calculation of effect sizes.
All citations retrieved through these searches were screened in October and November of 2007 for inclusion based on the following eligibility criteria.
We conducted various automatic and hand searches to ensure the inclusion of all the relevant citations. First, we searched the CDC HIV/AIDS Prevention Research Syn- thesis (PRS) project’s cumulative HIV/AIDS/STI preven- tion database that was developed to identify, review, and synthesize HIV/AIDS/STI intervention research literature published since 1988 [10, 11]. Automated systematic searches are conducted annually to","


",low,,,low,"We assessed the methodological quality by coding for study design, type of comparison, retention rates, and intent to treat. We examined study heterogeneity and implemented stratiﬁed analyses to assess intervention efﬁcacy based on study quality","
"
#330,Charania 2011,Consensus,,,,,,,,,,,,
#356,Cheyne 1999,Andrew,high,,not sr,high,,,high,,,high,,
#356,Cheyne 1999,Consensus,,,,,,,,,,,,
#223,Chin 2012,Andrew,low,"The goals of the present systematic reviews were to assess (1) the effectiveness of comprehensive risk-reduction and abstinence education interventions for reducing adoles- cent pregnancy, HIV, and other STIs and (2) the influ- ence of moderator variables including delivery setting, type of deliverer, intervention focus (pregnancy or STIs), and targeting (adapting interventions for specifıc groups).
Two Systematic Reviews","

",low,"Oversight for all stages of the systematic review was provided by a Coordination Team (the team) of 20 members—including
The general methods for conducting a Community Guide system- atic review are described elsewhere. 28,29 Specifıc methods used for this review are described in depth in the accompanying article.
The search period for these reviews was from 1988 to August 2007. Data from relevant papers were abstracted and assessed for study design suitability and quality of execution by two reviewers.","


Seems legit",low,,,low,Studies with fıve or more limitations (of a potential of nine limitations) were categorized as limited in their quality of execution 28 and excluded from the analysis.,"
"
#223,Chin 2012,Consensus,,,,,,,,,,,,
#221,Cooper 2014,Andrew,low,"brief sexual health communication. Objectives <b>We conducted a systematic review to explore 
opportunistic sexual and reproductive health services for sexual health communication delivered at primary health care level.</b> Search strategy We searched for","
",low,"We searched for studies on PubMed, ProQuest, CINAHL, Jstor, Scopus/Science Direct, Cochrane database of system- atic reviews, EBSCO, CINAHL, PsychoInfo and Web of Knowledge.","
",low,,,high,"Randomised controlled trials and controlled clinical studies were eligible for inclusion. Observational studies without a control group, before and after studies, and study reports not providing outcome measures were excluded.","
measuring RoB but no accounting for RoB or study type in synthesis"
#221,Cooper 2014,Consensus,,,,,,,,,,,,
#217,Coyne 2012,Andrew,high,,,high,,,high,,,high,,
#217,Coyne 2012,Consensus,,,,,,,,,,,,
#208,Dean 2014,Andrew,low,systematic review and meta-analysis of the evidence,"
",low,"Studies were included if they reported the effectiveness of interventions for promoting adolescent health and reproductive planning on MNCH outcomes.
Electronic data- bases such as PubMed, Cochrane Libraries, Embase, and WHO Regional Databases were searched to identify the studies. We included systematic reviews, experimental and observational studies.","

",high,Not always including all for comparison,,low,"sheets. The quality of experimental studies were assessed using Cochrane criteria [13], whereas STROBE guidelines were used to assess the quality of observational studies [14].","
meta-analysis of controlled trials"
#208,Dean 2014,Consensus,,,,,,,,,,,,
#331,Denno 2012,Andrew,low,,,low,"year olds). Methods Systematic search <b>A systematic search strategy was constructed to comprehen- 
sively identify related articles in the following databases: 
PubMed, EMBASE, Popline, CINAHL, and all the WHO regional 
databases. Although resources did not permit an extensive 
search of the gray literature, we did include a search on Google 
and examined relevant references. We also identiﬁed published 
and gray literature using the “snowball” technique</b> (i.e., review- ing the bibliographies","
",low,,,high,"Randomized controlled trials, quasi-experimental studies, and observational studies with a control group or time series anal- yses were of primary interest.","
varied study type and no distinctions/adjustments made"
#331,Denno 2012,Consensus,,,,,,,,,,,,
#205,DeSmet 2015,Andrew,low,A Systematic Review and Meta-analysis,"
",low,"with the key words (‘‘games’’ or ‘‘video games’’ or ‘‘interactive multimedia’’) and health.
PubMed (initiated in 1966), Web of Science (initiated in 1926), CINAHL (initiated in 1937), and PsycINFO (initiated in 1887) databases were searched for","

",low,,,high,,
#205,DeSmet 2015,Consensus,,,,,,,,,,,,
#203,DiCenso 1999,Andrew,low,,,low,,,low,,,low,,ALL rct
#203,DiCenso 1999,Consensus,,,,,,,,,,,,
#201,DiCenso 2002,Andrew,low,systematic review of randomised controlled trials,"
",low,"When all the relevant studies had been identified, we sent the list to experts to review for completeness. Twenty six randomised controlled trials described in 22 reports met our inclusion criteria. 18–39
We searched the following computerised databases: CATLINE, CINAHL, conference papers index, dissertation abstracts online, Embase, ERIC, Medline, NTIS, POPLINE, PsycINFO, sociological abstracts, and the Cochrane controlled trials register.","

",low,,,low,,
#201,DiCenso 2002,Consensus,,,,,,,,,,,,
#332,Downing 2011,Andrew,low,"This systematic review aimed to (i) assess effectiveness of parent/family-based programmes at preventing or reducing poor sexual health outcomes,","
SR",low,"Primary outcomes of interest were in- tervention effects on sexual behaviours
Systematic searches were conducted across 18 health, education, social care and economic data- bases and websites (Fig. 1) to identify systematic reviews, meta-analyses, randomized controlled tri- als (RCTs), controlled non-randomized studies (NRCTs) and controlled before and after studies (CBA).","

",low,,,high,"from the studies. Quality assessment <b>Study quality was assessed according to criteria set 
out in the NICE Centre for Public Health Excellence 
Methods Manual [16]. Data were quality assessed by 
one reviewer and were independently checked for 
accuracy by a second reviewer. Studies were rated 
as poor (À), moderate (+) or good quality (++).</b> Data synthesis The heterogeneous intervention","
no adjustment in analysis made for study design and quality"
#332,Downing 2011,Consensus,,,,,,,,,,,,
#177,EshreCapriWorkshopGroup 2015,Andrew,high,,No clear details,high,,No clear details,high,,No report of all studies,high,,none stated
#177,EshreCapriWorkshopGroup 2015,Consensus,,,,,,,,,,,,
#270,Fleming 2015,Andrew,high,"adolescent, teen, teenager, youth Abstract <b>Objective: To describe the needs and evidence-based practice 
specific to care of the pregnant adolescent in Canada,</b> including special populations . Outcomes: Healthy","
not a SR",low,"reduce repeat pregnancy rates . Evidence: <b>Published literature was retrieved through searches 
of PubMed and The Cochrane Library on May 23, 2012 
using appropriate controlled vocabulary (e .g ., Pregnancy in 
Adolescence) and key words (e .g ., pregnancy, teen, youth) . 
Results were restricted to systematic reviews, randomized control trials/controlled clinical trials, and observational studies .</b> Results were limited to English","
",high,,"making recommendations, so selecting for effective approaches",low,,effectiveness of approaches judged by quality of literature
#270,Fleming 2015,Consensus,,,,,,,,,,,,
#269,Fletcher 2008,Andrew,high,,,high,,,high,,,high,,
#269,Fletcher 2008,Consensus,,,,,,,,,,,,
#192,Franklin 1997,Andrew,low,,,low,,,low,,,high,,
#192,Franklin 1997,Consensus,,,,,,,,,,,,
#193,Franklin 2000,Andrew,high,,,high,,,high,,,high,,
#193,Franklin 2000,Consensus,,,,,,,,,,,,
#355,Fullerton 1997,Andrew,low,"Eastwood, Trevor A Sheldon Introduction <b>This paper summarises the results of a system- 
atic review</b> of the research evidence on","
",low,"Reviews and primary studies were identified by searches of computerised databases (Medline, Embase, Social Science Citation Index, PsycLit, DHSS database, Cochrane Database of Systematic Reviews), citations in identified papers and previous reviews, and contributions from peer reviewers and other experts in the field.","
",low,,,low,,
#355,Fullerton 1997,Consensus,,,,,,,,,,,,
#333,Gavin 2010,Andrew,low,A systematic review of the published data was conducted to identify and describe PYD programs that improve adolescent sexual and reproductive health.,"
",low,"We adapted the search strategy created by Catalano and colleagues [6] for their review of PYD programs. Librarians at the U.S. Centers for Disease Control and Prevention conducted searches for articles published during the period 1985–2007 in the following eight databases: Medline, PsychInfo, CINAHL, Sociological Abstracts, Social Services Abstracts, LILACS, Cochrane, and ERIC
We also identiﬁed unpub- lished documents and articles that were in press by talking to professionals working in the ﬁeld and by searching the Internet.","

",low,"Table 1 brieﬂy describes each of the programs, their key components and activities, target population, evaluation design, and major program outcomes.","
",low,"[1] use of an experimental or quasi-experimental design with a reasonably equivalent, structured comparison group; [2] appropriate statistical methods for analyzing the outcome data; [3] use of an appropriate unit of analysis; and [4] eval- uation of the impact of the program on at least one sexual or reproductive health outcome","
Selectivity in evaluation methods and study type - presumably ensuring quality?"
#333,Gavin 2010,Consensus,,,,,,,,,,,,
#187,Gavin 2015,Andrew,low,,,high,"focused solely on sex education because the effect of these programs on adolescent sexual risk behavior has already been well documented in several other systematic reviews.
Articles were excluded if they focused solely on HIV/sexually transmitted infection (STI) pre- vention (i.e., no focus on pregnancy prevention),","

excluded if only STI-focus? also excluded if focus on sex education?",low,,,low,,RCTs reported explicitely as first study to be considered each time
#187,Gavin 2015,Consensus,,,,,,,,,,,,
#181,Goesling 2014,Andrew,low,,title,low,"First, multiple literature search strategies were used to identify relevant studies released from 1989 through January 2011. Second, identiﬁed studies were screened against prespeciﬁed eligibility criteria. Third,","
",low,,,low,"For studies that met the review criteria for a high or moderate quality rating, the review team extracted information
The highest quality rating was reserved for randomized controlled trials with low attrition of sample members, no reassignment of sample members across conditions, and no systematic differences in the timing or mode of data collection across the treatment and control groups.
Both randomized controlled trials and quasiexperiments were eligible.
studies were assessed by teams of two trained reviewers for the quality and execution of their research designs. Fourth, for studies that passed the quality assessment, the review team extracted and analyzed","



"
#181,Goesling 2014,Consensus,,,,,,,,,,,,
#175,Grunseit 1997,Andrew,high,,,high,,,high,,uses some as 'examples' giving more weight in final (narrative) synthesis,low,,RCTs reported separately as high-quality studies
#175,Grunseit 1997,Consensus,,,,,,,,,,,,
#172,Guse 2012,Andrew,low,The purpose of this review is to summarize the currently published evidence base on the effectiveness of new digital media-based sexual health interventions,"
",low,"adolescents. Relevant da- tabases and search terms were identiﬁed with the help of a university librarian. Searches were performed in eight public research databases: Academic Search Premier, Child Develop- ment & Adolescent Studies, CINAHL, ERIC, PsychINFO, PubMed, Scopus, and Social Work Abstracts. Owing to the lack of conven- tion regarding terms to describe new digital media, our search strategy was purposefully broad","
",low,,,high,,not differentiating study type in synthesis
#172,Guse 2012,Consensus,,,,,,,,,,,,
#167,Harden 2006,Andrew,low,,,low,,,low,,,low,Six studies were deemed to have been soundly evaluated and the findings of these studies were included in the effectiveness synthesis,"
"
#167,Harden 2006,Consensus,,,,,,,,,,,,
#164,Hawes 2010,Andrew,high,"The primary objective of this work is to review the literature on the timing, circumstances, and consequences of ﬁrst (or early) heterosexual vaginal intercourse. A secondary objective is to examine the placing of heterosexual debut in the literature—that is, the way the subject has been deﬁned, contextualized, and examined.","
not very tight search objectives?",high,,,high,,,high,,
#164,Hawes 2010,Consensus,,,,,,,,,,,,
#344,Hieftje 2013,Andrew,low,To assess the type and quality of the studies evaluating the effects of electronic media–based inter- ventions on health and safety behavior change.,"
",low,,,low,,"two studies, both reported",low,,both included studies were RCTs
#344,Hieftje 2013,Consensus,,,,,,,,,,,,
#150,Hoyt 2002,Andrew,high,,,high,,,high,,,high,,
#150,Hoyt 2002,Consensus,,,,,,,,,,,,
#334,Jackson 2012,Andrew,low,"therefore performed a literature review to determine how far intervention programmes have been evaluated for their impact upon these risk behaviours, and to summarize the effectiveness of programmes, to identify promising approaches to reducing multiple risk behaviour.","
",low,A comprehensive literature search strategy,"
",low,,,low,"We excluded the ﬁve weak studies [37,39,40,46,47] from further discussion,
Quality Assessment Tool for Quantitative Studies,
Experimental or quasi-experimental studies","


"
#334,Jackson 2012,Consensus,,,,,,,,,,,,
#335,Johnson 2011,Andrew,low,"A Meta-analysis of Trials,","
",low,"We updated the previous database 18 using several strategies: (1) electronic database searches (MEDLINE, PsycINFO, CINAHL, Dissertations Abstracts, and ERIC);","
",low,,,low,use a randomized controlled trial or a quasi-experimental design with rigorous controls;,"
"
#335,Johnson 2011,Consensus,,,,,,,,,,,,
#336,Jones 2014,Andrew,low,we conducted a systematic review of the literature to examine the effectiveness of social media and text messaging interventions,"
",low,"The authors conducted a systematic search of the litera- ture using the following databases: Cinahl, PubMed, Cochrane Library, MEDLINE, and PsycINFO. Key words included com- binations of the following terms:","
",low,,,high,,no differentiation in reporting by study type
#336,Jones 2014,Consensus,,,,,,,,,,,,
#357,Josefina 1999,Andrew,high,,,high,,,high,,,high,,
#357,Josefina 1999,Consensus,,,,,,,,,,,,
#337,Kao 2012,Andrew,high,This literature review explores,"That don't sound systematic to me
",high,The literature search yielded a total of 35 articles.,"
",low,,,high,,no judgement made?
#337,Kao 2012,Consensus,,,,,,,,,,,,
#136,Kerr 1998,Andrew,high,,,high,,,low,,,high,,
#136,Kerr 1998,Consensus,,,,,,,,,,,,
#345,Kim 2008,Andrew,low,,,low,"The electronic records were scanned to identify po- tentially eligible studies. Because of resource constraints, we omitted unpublished works.","
",low,,,low,,generally RCTs/QEs - did assess RoB but didnt' differentiate in synthesis? Advises caution in interpreting
#345,Kim 2008,Consensus,,,,,,,,,,,,
#133,Kirby 1994,Andrew,low,,"Systematic approach, though not explicit",low,"To locate all the important studies meeting these criteria, we reviewed computer searches of appropri- ate data bases, reviewed all journals commonly publishing articles on this topic, and contacted other researchers in this field.","
",low,,,high,,"Survey data primarily, no testing of causation"
#133,Kirby 1994,Consensus,,,,,,,,,,,,
#354,Kirby 1997,Andrew,high,,,high,,,high,,,low,,
#354,Kirby 1997,Consensus,,,,,,,,,,,,
#360,Kirby 2001,Andrew,low,,,low,,,high,,fuller reporting elsewhere,low,,strength of evidence noted as influencing strength of recommendation
#360,Kirby 2001,Consensus,,,,,,,,,,,,
#326,Kirby 2002,Andrew,high,"This paper reviews studies which examine the impact upon sexual risk-taking of school involvement, school characteristics, specific programs in school that do not address sexual behavior, and specific programs that do address sexual risk-taking.","Not SR
",high,,search not laid out,high,,,high,,
#326,Kirby 2002,Consensus,,,,,,,,,,,,
#362,Kirby 2002,Andrew,low,"This paper summarizes a review of 73 studies meeting specified criteria (Kirby, 2001).","
Systematic search conducted elsewhere",low,,clear SR,high,,Selective reporting of articles found,low,,Taking quality of evidence into account
#362,Kirby 2002,Consensus,,,,,,,,,,,,
#132,Kirchengast 2012,Andrew,high,,,high,This paper is based on a PubMed and Science direct search concerning teenage pregnancy prevention strategies,"
non sys",high,,,high,,
#132,Kirchengast 2012,Consensus,,,,,,,,,,,,
#338,Lazarus 2010,Andrew,low,"Vernier, Geneva, Switzerland JeffLaz@pubhealth.ku.dk Aim <b>To examine the effectiveness of interventions seek- 
ing to prevent the spread of sexually transmitted infections 
(STIs), including HIV, among young people in the European 
Union. 

Methods For this systematic review, we</b> examined inter- ventions that aimed","
",low,We designed a highly sensitive search string of over 150 terms,"
",low,,,high,,no adjustments for study type; no assessment of study quality
#338,Lazarus 2010,Consensus,,,,,,,,,,,,
#120,L'Engle 2016,Andrew,low,,systematic review,low,,,low,,,high,,RoB measured but no discernable influence on study conclusions?
#120,L'Engle 2016,Consensus,,,,,,,,,,,,
#119,Lin 2008,Andrew,low,systematically review the evidence for behavioral counseling interventions to prevent STIs in adolescents and adults (nonpregnant and pregnant).,"
",low,"English-language articles in MEDLINE, PsycINFO, the Centers for Disease Control and Prevention’s Prevention Syn- thesis Research Project database, and Cochrane databases (1988 through December 2007), supplemented with expert recommenda- tions and the bibliographies of previous systematic reviews.","
",low,,,low,,
#119,Lin 2008,Consensus,,,,,,,,,,,,
#111,Lopez 2009,Andrew,low,,,low,,,low,,,low,,RCTs/cluster RCTs - conclusions shaped by study quality
#111,Lopez 2009,Consensus,,,,,,,,,,,,
#115,Lopez 2016,Andrew,low,,,low,,,low,,"is it bad that I'm super-trusting Cochrane right now? I *bet* they're doing it perfectly though, as they have all the right sections!",low,,
#115,Lopez 2016,Consensus,,,,,,,,,,,,
#117,Lopez 2016,Andrew,low,,,low,,,low,,,low,,
#117,Lopez 2016,Consensus,,,,,,,,,,,,
#105,Manlove 2015,Andrew,low,,,low,,,low,,,high,,"No recording of study type, assessment of quality or consideration of bias/confounding"
#105,Manlove 2015,Consensus,,,,,,,,,,,,
#103,Maravilla 2016,Andrew,low,"In this meta-analytic review, we aim to investigate the impact of CHWs","
",low,"This systematic review used PubMed, Embase, CINAHL, MEDLINE, Web of Science, ScienceDirect, Scopus, PsycINFO, Social Work Abstract, and UQ Library,","
",low,,,low,,
#103,Maravilla 2016,Consensus,,,,,,,,,,,,
#101,Marseille 2018,Andrew,low,Systematic Review and Meta-Analysis,"
",low,"We reduced the potential for publication bias by comprehensively searching multiple databases and gray literature.
Using a range of keywords and Medical Subject Heading (MeSH) terms, we developed a comprehensive search strategy as described in our protocol (Appendix A).
Our methods are generally based on recommendations of the Cochrane Collaboration","


",low,,,low,"For non-RCTs, we also used indices rec- o m m e n de d b y t he G r a d es o f R e co m m e nd a t i o n Assessment, Development and Evaluation
We used the Cochrane Collaboration tool (Higgins et al. 2011) for assessing risk of bias for
RCTs, prospective or retrospective observational cohorts, se- rial cross-sectional studies, and other longitudinal analyses published in any language were eligible.","


"
#101,Marseille 2018,Consensus,,,,,,,,,,,,
#339,Mason-Jones 2012,Andrew,low," <b>A systematic review of the role of school-based 
healthcare in adolescent sexual, reproductive, 
and mental health</b> Mason-Jones et al. Mason-Jones et","
",low,"Pubmed, Psychinfo, Psychnet, Cochrane CENTRAL, and Web of Science were searched","
",low,,,high,"Only three studies were impact evaluations reporting quantitative outcomes [22,27,28], and none of these were randomized controlled trials (RCTs).","
no RCTs, no correction possible for other methods, authors note this"
#339,Mason-Jones 2012,Consensus,,,,,,,,,,,,
#324,Matthias 2002,Andrew,low,The systematic literature review used,"
",low,"Medline, Embase, Cinahl, Eric, Social Science Citation Index, Index New Zealand, Cochrane Database of Systematic Reviews and Database of Abstracts of Reviews of Effectiveness.
Studies were selected and appraised if they quantitatively evaluated youth-specific primary health care","

",low,,,low,,
#324,Matthias 2002,Consensus,,,,,,,,,,,,
#340,McLellan 2013,Andrew,low,"This review therefore aimed to focus on the use of all types of technology interventions for young people (aged 12– 25 years) in the prevention and reduction of risky behav- iours around substance use—namely alcohol and drug use—and sexual health.
a systematic review","

",low,"The terms (young people adolescent* teen*) AND (Telecommunication OR Computer OR MP3 players OR Internet OR Mobile* or Technolog*) AND Health (the term ‘health’ was used to capture as broad a range of studies as possible) were used to search for relevant studies. The following databases were searched via Ovid: Psychinfo (1806- Wk 2 Jan 2011) Medline (1948-Jan Wk 2 2011), Embase (1980-Jan Wk 2 2011).","
",low,,,high,"Studies meeting the level one-four level of evidence [14], which includes all RCTs, cohort studies and studies with no control but that report baseline and follow-up measure.","
no assessment/grading of quality"
