Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
The Impact of Health Education Transmitted Via Social Media or Text Messaging on Adolescent and Young Adult Risky Sexual Behavior:  A Systematic Review of the Literature,"Jones, Krista; Eathington, Patricia; Baldwin, Kathleen; Sipsma, Heather","Abstract Despite the increased use of social media and text messaging among adolescents, it is unclear how effective education transmitted via these mechanisms is for reducing sexual risk behavior. Accordingly, we conducted a systematic review of the lite",2014,,Sexually Transmitted Diseases,41,7,,,,00007435-201407000-00001,#336,Jones 2014,,
A Comparison of Family Interventions to Address Adolescent Risky Behaviors: A Literature Review,"Kao, Tsui-Sui; Gibbs, Marilyn Beth; Clemen-Stone, Susan; Duffy, Sonia","The purpose of this integrative review is to describe, compare, and synthesize traditional and computer-based family interventions that aim to change adolescents? risky sexual behaviors and substance abuse. Family interventions have been shown to generate",2012,,Western Journal of Nursing Research,35,5,611-637,,10.1177/0193945912465021,,#337,Kao 2012,,
Teenage-pregnancies from a human life history viewpoint - an updated review with special respect to prevention strategies,"Kirchengast, S.","Adolescence is life stage typical of Homo sapiens. Reproduction during adolescence, i.e. teenage pregnancies is still listed among the most important public health problems of the 21rst century, although low maternal age may be a marker for social rather than biological or medical disadvantage. Data from developed countries indicate that an optimal prenatal program eliminates obstetrical risks among adolescent mothers and adverse pregnancy outcome is mainly due to socioeconomic cofactors. Most teenage pregnancies are unplanned and result often in a social disaster. It is well documented that teenage mothers are more likely to drop out of school and have a low educational level. They are faced with unemployment and poverty. Consequently nearly all developed countries try to reduce teenage pregnancies and teenage motherhood effectively. The different countries however, use different strategies and these strategies differ regarding their effectiveness. In this review beside general aspects of pregnancies during adolescence, strategies to reduce teenage pregnancy rates are discussed. In particular the decline in teenage motherhood in Austria since the 1970s and is highlighted. © 2012 Bentham Science Publishers.",2012,,Current Women's Health Reviews,8,3,248-255,,10.2174/157340412803760685,,#132,Kirchengast 2012,,
"Systematic review of interventions to prevent the spread of sexually transmitted infections, including HIV, among young people in Europe","Lazarus, Jeffrey V; Sihvonen-Riemenschneider, Henna; Laukamm-Josten, Ulrich; Wong, Fiona; Liljestrand, Jerker","AIM: To examine the effectiveness of interventions seeking to prevent the spread of sexually transmitted infections (STIs), including HIV, among young people in the European Union. METHODS: For this systematic review, we examined interventions that aimed at STI risk reduction and health promotion conducted in schools, clinics, and in the community for reported effectiveness (in changing sexual behavior and/or knowledge) between 1995 and 2005. We also reviewed study design and intervention methodology to discover how these factors affected the results, and we compiled a list of characteristics associated with successful and unsuccessful programs. Studies were eligible if they employed a randomized control design or intervention-only design that examined change over time and measured behavioral, biologic, or certain psychosocial outcomes. RESULTS: Of the 19 studies that satisfied our review criteria, 11 reported improvements in the sexual health knowledge and/or attitudes of young people. Ten of the 19 studies aimed to change sexual risk behavior and 3 studies reported a significant reduction in a specific aspect of sexual risk behavior. Two of the interventions that led to behavioral change were peer-led and the other was teacher-led. Only 1 of the 8 randomized controlled trials reported any statistically significant change in sexual behavior, and then only for young females. CONCLUSION: The young people studied were more accepting of peer-led than teacher-led interventions. Peer-led interventions were also more successful in improving sexual knowledge, though there was no clear difference in their effectiveness in changing behavior. The improvement in sexual health knowledge does not necessarily lead to behavioral change. While knowledge may help improve health-seeking behavior, additional interventions are needed to reduce STIs among young people.",2010,02/,Croatian medical journal,51,1,74-84,20162748,10.3325/cmj.2010.51.74,,#338,Lazarus 2010,,
"A systematic review of the role of school-based healthcare in adolescent sexual, reproductive, and mental health","Mason-Jones, Amanda J.; Crisp, Carolyn; Momberg, Mariette; Koech, Joy; De Koker, Petra; Mathews, Cathy","Accessible sexual, reproductive, and mental healthcare services are crucial for adolescent health and wellbeing. It has been reported that school-based healthcare (SBHC) has the potential to improve the availability of services particularly for young people who are normally underserved. Locating health services in schools has the potential to reduce transport costs, increase accessibility and provide links between schools and communities.",2012,,Systematic Reviews,1,1,49,,10.1186/2046-4053-1-49,Mason-Jones2012,#339,Mason-Jones 2012,,
Can technology be effective in interventions targeting sexual health and substance use in young people; a systematic review,"McLellan, Julie; Dale, Hannah","Technology is increasingly used as a method to engage young people in health issues. This review aimed to assess the effectiveness of technology interventions in preventing and reducing substance use and risky sexual health behaviours in young people. The following databases were searched via Ovid: Psychinfo, Medline, Embase. Studies were systematically screened by title, abstract and 2 reviewers assessed the full papers and discrepancies discussed. Inclusion criteria: young people (aged 12–25 years) that constituted at least 50 % of the population; any technological component including telecommunication, computer and internet that constituted at least 50 % of the intervention; any sexual health or substance use outcome; studies meeting evidence level one-four. 1603 papers were identified by the original search. Of these, 30 were included in the review. The majority of studies showed positive intervention effects, however, most targeted educated young people, such as university students. Additionally, the outcome measures were often psychological determinants of behaviour rather than actual behaviours. Technology has a significant role to play in this field. The review identifies components of effective interventions for young people. However more research is required to target vulnerable populations in order reduce inequalities. Studies are required that involve a wider variety of participants with behavioural outcomes.",2013,,Health and Technology,3,3,195-203,,10.1007/s12553-013-0059-2,McLellan2013,#340,McLellan 2013,,
Alcohol use and sexual risk-taking among adolescents: A review of recent literature,"Kerr, D. L.; Matlak, K. A.","This article reviews recent (post-1990) literature which investigates the relationship of alcohol use to risky sexual behaviors among 11- to 19- year-olds. The review highlights the current status of alcohol use and sexual behavior among adolescents and summarizes research which investigates the relationship between these behaviors. Studies with a sample size of at least 100 are included. The article describes the literature in table form by sample size, age, type, and location; measures of alcohol and sexual risk used; and results. Conclusions, gaps, and weaknesses in the literature base are cited and recommendations for future research and prevention programming are made.",1998,,Journal of HIV/AIDS Prevention and Education for Adolescents and Children,2,2,67-88,,,,#136,Kerr 1998,"Meigan Thomson (2020-04-01 23:41:53)(Screen): sorry this was a mis-click, should have been yes; ",
"Behavioral interventions to reduce incidence of HIV, STD, and pregnancy among adolescents: A decade in review","Robin, L.; Dittus, P.; Whitaker, D.; Crosby, R.; Ethier, K.; Mezoff, J.; Miller, K.; Pappas-Deluca, K.","Purpose: To review adolescent sexual risk-reduction programs that were evaluated using quasi-experimental or experimental methods and published in the 1990s. We describe evaluated programs and identify program and evaluation issues for health educators and researchers. Methods: We systematically searched seven electronic databases and hand-searched journals to identify evaluations of behavioral interventions to reduce sexual risk behaviors among adolescents. Articles were included if they were published in the 1990s, provided a theoretical basis for the program, information about the interventions, clear aims, and quasi-experimental or experimental evaluation methods. We identified 101 articles, and 24 met our criteria for inclusion. Results: We reviewed these evaluations to assess their research and program characteristics. The majority of studies included randomized controlled designs and employed delayed follow-up measures. The most commonly measured outcomes were delay of initiation of sexual intercourse, condom use, contraceptive use, and frequency of sexual intercourse. Programs ranged from 1 to 80 sessions, most had adult facilitators, and commonly included skills-building activities about sexual communication, decision-making, and problem solving. The programs included a wide range of strategies for content delivery such as arts and crafts, school councils, and community service learning. Conclusions: Analysis of these programs suggest four overall factors that may impact program effectiveness including the extent to which programs focus on specific skills for reducing sexual risk behaviors; program duration and intensity; what constitutes the content of a total evaluated program including researchers' assumptions of participants' exposure to prior and concurrent programs; and what kind of training is available for facilitators.",2004,January,Journal of Adolescent Health,34,1,Mar-26,38050153,10.1016/S1054-139x(03)00244-1,,#59,Robin 2004,,
"Interventions to Reduce Sexual Risk for Human Immunodeficiency Virus in Adolescents: A Meta-analysis of Trials, 1985-2008","Johnson, Blair T.; Scott-Sheldon, Lori A. J.; Huedo-Medina, Tania B.; Carey, Michael P.","To provide an updated review of the efficacy of behavioral interventions to reduce sexual risk of human immunodeficiency virus (HIV) among adolescents.We searched electronic databases, leading public health journals, and the document depository held by the Synthesis of HIV/AIDS Risk Reduction Project. Studies that fulfilled the selection criteria and were available as of December 31, 2008, were included.Studies that investigated any behavioral intervention advocating sexual risk reduction for HIV prevention, sampled adolescents (age range, 11-19 years), measured a behavioral outcome relevant to sexual risk, and provided sufficient information to calculate effect sizes.Data from 98 interventions (51 240 participants) were derived from 67 studies, dividing for qualitatively different interventions and gender when reports permitted it.Condom use, sexual frequency, condom use skills, interpersonal communication skills, condom acquisition, and incident sexually transmitted infections (STIs).Relative to controls, interventions succeeded at reducing incident STIs, increasing condom use, reducing or delaying penetrative sex, and increasing skills to negotiate safer sex and to acquire prophylactic protection. Initial risk reduction varied depending on sample and intervention characteristics but did not decay over time.Comprehensive behavioral interventions reduce risky sexual behavior and prevent transmission of STIs. Interventions are most successful to the extent that they deliver intensive content.Arch Pediatr Adolesc Med. 2011;165(1):77-84-->",2011,,Archives of Pediatrics & Adolescent Medicine,165,1,77-84,,10.1001/archpediatrics.2010.251,,#335,Johnson 2011,,
Interventions to prevent substance use and risky sexual behaviour in young people: a systematic review,"Jackson, Caroline; Geddes, Rosemary; Haw, Sally; Frank, John",ABSTRACT Aims? To identify and assess the effectiveness of experimental studies of interventions that report on multiple risk behaviour outcomes in young people. Methods? A systematic review was performed to identify experimental studies of interventions ,2012,,Addiction,107,4,733-747,,10.1111/j.1360-0443.2011.03751.x,,#334,Jackson 2012,,
The impact of schools and school programs upon adolescent sexual behavior,"Kirby, D.","Because most youth are enrolled in school for many years before they initiate sex and when they initiate sex, schools have the potential for reducing adolescent sexual risk-taking. This paper reviews studies which examine the impact upon sexual risk-taking of school involvement, school characteristics, specific programs in school that do not address sexual behavior, and specific programs that do address sexual risk-taking. Multiple studies support several conclusions. First, involvement in and attachment to school and plans to attend higher education are all related to less sexual risk-taking and lower pregnancy rates. Second, students in schools with manifestations of poverty and disorganization are more likely to become pregnant. Third, some school programs specifically designed to increase attachment to school or reduce school dropout effectively delayed sex or reduced pregnancy rate, even when they did not address sexuality. Fourth, sex and HIV education programs do not increase sexual behavior, and some programs decrease sexual activity and increase condom or contraceptive use. Fifth, school-based clinics and school condom-availability programs do not increase sexual activity, and either may or may not increase condom or contraceptive use. Other studies reveal that there is very broad support for comprehensive sex- and HIV-education programs, and accordingly, most youth receive some amount of sex or HIV education. However, important topics are not covered in many schools.",2002,Feb,Journal of Sex Research,39,1,27-33,12476253,10.1080/00224490209552116,,#326,Kirby 2002,,
"Youth-specific primary health care – access, utilisation and health outcomes: a critical appraisal of the literature","Matthias, Kaaren",,2002,,,5,1,Jan-97,,,,#324,Matthias 2002,,
Intrauterine Contraception Continuation in Adolescents and Young Women: A Systematic Review,"Usinger, K. M.; Gola, S. B.; Weis, M.; Smaldone, A.","Study Objective Adolescents are at high risk for unintended pregnancies. Although intrauterine devices (IUDs), long-acting reversible contraceptives (LARCs), are known to be highly effective in preventing pregnancy, little is known about IUD adherence in adolescents. In this systematic review (SR) we examined IUD continuation rates compared with other forms of contraception in young women aged 25 years and younger. Design, Setting, Participants, Interventions, and Main Outcome Measures A systematic search of Ovid Medline, Cochrane Library, and Embase was conducted for the years 1946-2015. Included studies examined IUD use in women 25 years of age and younger, compared IUD use with another form of contraception, and measured continuation rates at 12 months. The quality of each study was appraised using the Downs and Black criteria, and 12-month continuation rates among studies were pooled and analyzed according to contraceptive type. Results Of 3597 articles retrieved, 9 studies met criteria for SR. Synthesized across studies, 12-month continuation was significantly higher for IUD users (86.5%, 12,761/14,747) compared with oral contraceptives (39.6%, 1931/4873), Depo-Provera (Pfizer Inc, New York, NY) hormonal injection (39.8%, 510/1282), vaginal ring (48.9%, 196/401), and transdermal patch (39.8%, 37/93; all P values < .001). There was no statistically significant difference in 12-month continuation between the IUD and another LARC method, the subdermal etonogestrel implant (85.3%, 4671/5474). Conclusion Findings of this SR suggest that continuation rates for IUDs are generally higher compared with other contraceptive methods for women aged 25 years and younger. In a population with high rates of unintended pregnancies, generally low adherence, and imperfect use with other non-LARCs, IUD use should be encouraged. © 2016 North American Society for Pediatric and Adolescent Gynecology",2016,,Journal of Pediatric and Adolescent Gynecology,29,6,659-667,,10.1016/j.jpag.2016.06.007,,#265,Usinger 2016,,
